2024-12-12 05:26:02 - Vendor 1 added ticket: 31 | TicketPool size: 31
2024-12-12 05:26:08 - Vendor 4 added ticket: 334 | TicketPool size: 13
2024-12-12 05:26:08 - Vendor 1 added ticket: 34 | TicketPool size: 14
2024-12-12 05:26:08 - Vendor 3 added ticket: 234 | TicketPool size: 15
2024-12-12 05:26:08 - Vendor 2 added ticket: 134 | TicketPool size: 16
2024-12-12 05:26:10 - Vendor 4 added ticket: 335 | TicketPool size: 17
2024-12-12 05:26:10 - Vendor 1 added ticket: 35 | TicketPool size: 18
2024-12-12 05:26:10 - Vendor 3 added ticket: 235 | TicketPool size: 19
2024-12-12 05:26:10 - Vendor 2 added ticket: 135 | TicketPool size: 20
2024-12-12 05:26:11 - Customer 5 bought ticket: 31 | TicketPool size: 19
2024-12-12 05:26:11 - Customer 1 bought ticket: 331 | TicketPool size: 18
2024-12-12 05:26:11 - Customer 2 bought ticket: 231 | TicketPool size: 17
2024-12-12 05:26:11 - Customer 10 bought ticket: 131 | TicketPool size: 16
2024-12-12 05:26:11 - Customer 8 bought ticket: 32 | TicketPool size: 15
2024-12-12 05:26:11 - Customer 3 bought ticket: 332 | TicketPool size: 14
2024-12-12 05:26:11 - Customer 7 bought ticket: 232 | TicketPool size: 13
2024-12-12 05:26:11 - Customer 4 bought ticket: 132 | TicketPool size: 12
2024-12-12 05:26:11 - Customer 9 bought ticket: 33 | TicketPool size: 11
2024-12-12 05:26:11 - Customer 6 bought ticket: 333 | TicketPool size: 10
2024-12-12 05:26:12 - Vendor 4 added ticket: 336 | TicketPool size: 11
2024-12-12 05:26:12 - Vendor 1 added ticket: 36 | TicketPool size: 12
2024-12-12 05:26:12 - Vendor 2 added ticket: 136 | TicketPool size: 13
2024-12-12 05:26:12 - Vendor 3 added ticket: 236 | TicketPool size: 14
2024-12-12 05:26:14 - Customer 5 bought ticket: 133 | TicketPool size: 13
2024-12-12 05:26:14 - Customer 2 bought ticket: 233 | TicketPool size: 12
2024-12-12 05:26:14 - Customer 8 bought ticket: 334 | TicketPool size: 11
2024-12-12 05:26:14 - Customer 10 bought ticket: 34 | TicketPool size: 10
2024-12-12 05:26:14 - Customer 9 bought ticket: 234 | TicketPool size: 9
2024-12-12 05:26:14 - Customer 1 bought ticket: 134 | TicketPool size: 8
2024-12-12 05:26:14 - Customer 6 bought ticket: 335 | TicketPool size: 7
2024-12-12 05:26:14 - Customer 4 bought ticket: 35 | TicketPool size: 6
2024-12-12 05:26:14 - Customer 3 bought ticket: 235 | TicketPool size: 5
2024-12-12 05:26:14 - Customer 7 bought ticket: 135 | TicketPool size: 4
2024-12-12 05:26:14 - Vendor 4 added ticket: 337 | TicketPool size: 5
2024-12-12 05:26:14 - Vendor 1 added ticket: 37 | TicketPool size: 6
2024-12-12 05:26:14 - Vendor 2 added ticket: 137 | TicketPool size: 7
2024-12-12 05:26:14 - Vendor 3 added ticket: 237 | TicketPool size: 8
2024-12-12 05:26:16 - Vendor 4 added ticket: 338 | TicketPool size: 9
2024-12-12 05:26:16 - Vendor 1 added ticket: 38 | TicketPool size: 10
2024-12-12 05:26:16 - Vendor 2 added ticket: 138 | TicketPool size: 11
2024-12-12 05:26:16 - Vendor 3 added ticket: 238 | TicketPool size: 12
2024-12-12 05:26:17 - Customer 5 bought ticket: 336 | TicketPool size: 11
2024-12-12 05:26:17 - Customer 2 bought ticket: 36 | TicketPool size: 10
2024-12-12 05:26:17 - Customer 9 bought ticket: 136 | TicketPool size: 9
2024-12-12 05:26:17 - Customer 3 bought ticket: 236 | TicketPool size: 8
2024-12-12 05:26:17 - Customer 4 bought ticket: 337 | TicketPool size: 7
2024-12-12 05:26:17 - Customer 7 bought ticket: 37 | TicketPool size: 6
2024-12-12 05:26:17 - Customer 1 bought ticket: 137 | TicketPool size: 5
2024-12-12 05:26:17 - Customer 6 bought ticket: 237 | TicketPool size: 4
2024-12-12 05:26:17 - Customer 8 bought ticket: 338 | TicketPool size: 3
2024-12-12 05:26:17 - Customer 10 bought ticket: 38 | TicketPool size: 2
2024-12-12 05:26:18 - Vendor 4 added ticket: 339 | TicketPool size: 3
2024-12-12 05:26:18 - Vendor 1 added ticket: 39 | TicketPool size: 4
2024-12-12 05:26:18 - Vendor 3 added ticket: 239 | TicketPool size: 5
2024-12-12 05:26:18 - Vendor 2 added ticket: 139 | TicketPool size: 6
2024-12-12 05:26:20 - Customer 5 bought ticket: 138 | TicketPool size: 5
2024-12-12 05:26:20 - Customer 4 bought ticket: 238 | TicketPool size: 4
2024-12-12 05:26:20 - Customer 9 bought ticket: 339 | TicketPool size: 3
2024-12-12 05:26:20 - Customer 10 bought ticket: 39 | TicketPool size: 2
2024-12-12 05:26:20 - Customer 6 bought ticket: 239 | TicketPool size: 1
2024-12-12 05:26:20 - Customer 7 bought ticket: 139 | TicketPool size: 0
2024-12-12 05:26:20 - Vendor 4 added ticket: 340 | TicketPool size: 1
2024-12-12 05:26:20 - Customer 8 bought ticket: 340 | TicketPool size: 0
2024-12-12 05:26:20 - Vendor 1 added ticket: 40 | TicketPool size: 1
2024-12-12 05:26:20 - Customer 2 bought ticket: 40 | TicketPool size: 0
2024-12-12 05:26:20 - Vendor 2 added ticket: 140 | TicketPool size: 1
2024-12-12 05:26:20 - Customer 1 bought ticket: 140 | TicketPool size: 0
2024-12-12 05:26:20 - Vendor 3 added ticket: 240 | TicketPool size: 1
2024-12-12 05:26:20 - Customer 3 bought ticket: 240 | TicketPool size: 0
